name,isAdmin,logo,banner,description,tagLine,followerCount,website,domain,industry,companySize,type,founded,companyAddress,mainCompanyID,industryCode,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,headquarters,specialties,relatedCompanies1,relatedCompanies2,relatedCompanies3,relatedCompanies4,relatedCompanies5,relatedCompanies6,relatedCompanies7,relatedCompanies8,relatedCompanies9,relatedCompanies10,relatedCompanies11,relatedCompanies12,relatedCompanies13,relatedCompanies14,relatedCompanies15,relatedCompanies16,error,phone
Melcom Group of Companies,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQGg8rYHPLQPaQ/company-logo_400_400/0/1519893790135?e=1645660800&v=beta&t=ZO2fGzj-SeToSqBVHds7ccU6A2olwbPTp07hxC5ApKE,,"The Melcom Group of Companies consists of five separate entities: Melcom Limited, Melcom Hospitality Limited, Melcom Travel & Tours, Century Industries Limited and Crownstar Electronic Industries Limited.

Melcom Limited has, over the past 26 years, grown to 33 retail outlets across the length and breadth of the country. In addition to the Melcom Retail stores, the group is well diversified into other businesses including manufacturing of domestic household plasticware (Centrury Industries Limited) as well as assembly & servicing of household electronic appliances (Crownstar Electronic Industries Limited). Melcom Hospitality Limited, the group's newest entity has started a bakery and coffee shop. Last, but by no means least is Melcom Travel & Tours - a fully fledged, IATA certified travel agency.",,2779,http://www.melcomgroup.com,melcomgroup.com,Retail,"1,001-5,000 employees",Privately Held,1989,"2nd Palace Link Road, Off Dadeban Road, North Industrial Area, Accra,  P.O. Box 3920, GH",578283,27,https://www.linkedin.com/sales/company/578283/,446,Melcom Group of Companies,https://www.linkedin.com/company/melcom-group-of-companies/,2021-11-24T14:24:52.068Z,https://www.linkedin.com/company/melcom-group-of-companies/,,,,,,,,,,,,,,,,,,,,
"Lowe's Companies, Inc.",FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQEhMN8M2HsC7Q/company-logo_400_400/0/1582579144622?e=1646265600&v=beta&t=PDReQJNhSD01L91BW5I-NF_fntfgbVCrqXTJE5kRtvg,https://media-exp1.licdn.com/dms/image/C4D1BAQECDuQG2x0mFQ/company-background_10000/0/1593179782141?e=1637996400&v=beta&t=jVYJxsOnJuisaplUh6EYMqAd1TR-x5Bb7EGc3ECRwkM,"Lowe’s Companies, Inc. (NYSE: LOW) is a FORTUNE® 50 home improvement company serving approximately 20 million customers a week in the United States and Canada. With fiscal year 2020 sales of nearly $90 billion, Lowe’s and its related businesses operate or service more than 2,200 home improvement and hardware stores and employ over 300,000 associates. Based in Mooresville, N.C., Lowe’s supports the communities it serves through programs focused on creating safe, affordable housing and helping to develop the next generation of skilled trade experts. For more information, visit Lowes.com.
",Do it right for less. Start with Lowe's.,544752,https://corporate.lowes.com/careers,https://corporate.lowes.com/careers,Retail,"10,001+ employees",Public Company,1921,"1000 Lowes Blvd, Mooresville, NC 28117, US",4128,105,https://www.linkedin.com/sales/company/4128/,119054,"Lowe's Companies, Inc.",https://www.linkedin.com/company/lowe's-home-improvement/,2021-11-26T06:16:15.265Z,https://www.linkedin.com/company/lowe's-home-improvement/,"Mooresville, NC","Home Improvement, retail, home and garden, and DIY",https://www.linkedin.com/company/the-home-depot/,https://www.linkedin.com/company/lowe's-india/,https://www.linkedin.com/company/target/,https://www.linkedin.com/company/amazon/,https://www.linkedin.com/company/walmart/,https://www.linkedin.com/company/ups/,https://www.linkedin.com/company/costco-wholesale/,https://www.linkedin.com/company/lowescanada/,https://www.linkedin.com/company/cvs-health/,https://www.linkedin.com/company/wellsfargo/,,,,,,,,
The Janssen Pharmaceutical Companies of Johnson & Johnson,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQG0V9OOxXc2sQ/company-logo_400_400/0/1519855865090?e=1646265600&v=beta&t=cAG0YCWH7mUcn0CYOTkuSKiFQ4CiDrzWDKSsnNqiHY0,https://media-exp1.licdn.com/dms/image/C561BAQGfFhNH2Lmr8Q/company-background_10000/0/1597424847881?e=1637996400&v=beta&t=hdYw3Vc0HV19mWyEJzxxZXpy7RqwXX47bLfv8Xahg8A,"At Janssen, we never stop working toward a future where disease is a thing of the past. 

We’re the Pharmaceutical Companies of Johnson & Johnson, and you can count on us to keep working tirelessly to make that future a reality for patients everywhere, by fighting sickness with science, improving access with ingenuity, and healing hopelessness with heart. We focus on areas of medicine where we can make the biggest difference: Cardiovascular & Metabolism, Immunology, Infectious Diseases & Vaccines, Neuroscience, Oncology, and Pulmonary Arterial Hypertension.

Visit us:  www.janssen.com
Follow us: @JanssenGlobal on Twitter and Instagram
Watch our videos on our YouTube channel: http://bit.ly/1LY2xQ5
","This channel is run by Janssen Global, LLC.",746434,http://www.janssen.com,janssen.com,Pharmaceuticals,"10,001+ employees",Public Company,,,1204,14,https://www.linkedin.com/sales/company/1204/,27317,The Janssen Pharmaceutical Companies of Johnson & Johnson,https://www.linkedin.com/company/janssen-pharmaceutical-companies-of-johnson-and-johnson/,2021-11-26T06:16:26.362Z,https://www.linkedin.com/company/janssen-pharmaceutical-companies-of-johnson-and-johnson/,"Raritan, New Jersey","Healthcare, Pharmaceutical, Caring, Science, and Innovation",https://www.linkedin.com/showcase/janssen-nederland,https://www.linkedin.com/company/actelion-'now-janssen-pulmonary-hypertension'/,https://www.linkedin.com/showcase/janssen-australia-and-new-zealand,https://www.linkedin.com/showcase/janssen-belgium,https://www.linkedin.com/company/johnson-&-johnson/,,,,,,,,,,,,,
The Estée Lauder Companies Inc.,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQFex69Y26uzhg/company-logo_400_400/0/1607447361373?e=1646265600&v=beta&t=21s3q3aW77GeT376PifEX91d0pQezBYo59nQf7RjAvU,https://media-exp1.licdn.com/dms/image/C4D1BAQHsRWyMD9zhwA/company-background_10000/0/1635788593105?e=1637996400&v=beta&t=LE2MSMem5bD3gdX-P_v93ThySlxuPBsAkvVgztYDNRI,"The Estée Lauder Companies Inc. is one of the world's leading manufacturers and marketers of quality skin care, makeup, fragrance and hair care products. 

As the global leader in prestige beauty, we touch over half a billion consumers a year. Our Company's products are sold in over 150 countries and territories under the following brand names: AERIN, Aramis, Aveda, BECCA, Bobbi Brown, Bumble and bumble, By Kilian, Clinique, Darphin, Donna Karan, DKNY, Dr. Jart+, Editions de Parfums Frédéric Malle, Ermenegildo Zegna, Estée Lauder, GLAMGLOW, Jo Malone London, Kiton, La Mer, Lab Series, Le Labo, M•A•C, Michael Kors, Origins, Prescriptives, RODIN olio lusso, Smashbox, Tom Ford, Tommy Hilfiger and Too Faced. 

To explore our current job openings, go to www.elcompanies.com/",,1250032,http://www.elcompanies.com,elcompanies.com,Luxury Goods & Jewelry,"10,001+ employees",Public Company,1946,,4059,143,https://www.linkedin.com/sales/company/4059/,26221,The Estée Lauder Companies Inc.,https://www.linkedin.com/company/the-estee-lauder-companies-inc/,2021-11-26T06:16:38.270Z,https://www.linkedin.com/company/the-estee-lauder-companies-inc/,"New York, NY","Skin Care, Makeup, Fragrance, and Hair Care",https://www.linkedin.com/company/beccacosmetics/,https://www.linkedin.com/school/aveda/,https://www.linkedin.com/company/bumble-and-bumble/,https://www.linkedin.com/company/jo-malone-london/,https://www.linkedin.com/company/aerin/,https://www.linkedin.com/company/tom-ford-beauty/,https://www.linkedin.com/company/glamglow/,https://www.linkedin.com/company/lab-series/,https://www.linkedin.com/company/smashbox-cosmetics/,https://www.linkedin.com/company/creme-de-la-mer/,https://www.linkedin.com/company/clinique/,https://www.linkedin.com/company/mac-cosmetics/,https://www.linkedin.com/company/kilianparis/,https://www.linkedin.com/company/too-faced-cosmetics/,https://www.linkedin.com/company/origins/,https://www.linkedin.com/company/bobbi-brown-cosmetics/,,
"The TJX Companies, Inc.",FALSE,https://media-exp1.licdn.com/dms/image/C510BAQE7SDGvdGLlaw/company-logo_400_400/0/1519828643942?e=1646265600&v=beta&t=iF9ZzOIJbi_5kU2WNkmv3ih2WMBQsJQCZgoaudSHy-w,https://media-exp1.licdn.com/dms/image/C4E1BAQENwOvv8tN2gw/company-background_10000/0/1568406159255?e=1637996400&v=beta&t=PqjkVlwGrgWHYQDY7LmsNOxuw85ap0FhwWFa0mzly1E,"The TJX Companies, Inc., the leading off-price retailer of apparel and home fashions in the U.S. and worldwide, is ranked 85 among Fortune 500 companies. At the end of 2017*, the Company had over $35 billion in revenues, more than 4,000 stores in 9 countries, 3 e-commerce sites, and approximately 249,000 Associates. We operate T.J. Maxx and Marshalls (combined, Marmaxx), HomeGoods, Sierra Trading Post, and Homesense, as well as tjmaxx.com and sierratradingpost.com, in the United States; Winners, HomeSense, and Marshalls (combined, TJX Canada) in Canada; and T.K. Maxx in the United Kingdom, Ireland, Germany, Poland, Austria, the Netherlands, and Australia, as well as Homesense in the U.K. and Ireland and tkmaxx.com in the U.K. (combined, TJX International).

",Discover what different can mean for you.,243633,https://jobs.tjx.com/,https://jobs.tjx.com,Retail,"10,001+ employees",Public Company,,"770 Cochituate Road, Framingham, MA 01701, US | 300-400 Value Way, Marlborough, MA 01752, US",5121,27,https://www.linkedin.com/sales/company/5121/,29380,"The TJX Companies, Inc.",https://www.linkedin.com/company/tjx/,2021-11-26T06:16:49.700Z,https://www.linkedin.com/company/tjx/,"Framingham, MA",Off-Price Retail,https://www.linkedin.com/company/target/,https://www.linkedin.com/company/tk-maxx/,https://www.linkedin.com/company/tjx-canada-winners-marshalls-homesense/,https://www.linkedin.com/company/tjx-europe/,https://www.linkedin.com/company/ross-stores/,https://www.linkedin.com/company/amazon/,https://www.linkedin.com/company/burlington-stores/,https://www.linkedin.com/company/tjmaxx/,https://www.linkedin.com/company/walmart/,https://www.linkedin.com/company/urban-fish-design-/,,,,,,,,
,,,,,,,,,,,,,,,,,,,https://www/linkedin.com/company/albertsons/,2021-11-26T06:16:52.350Z,,,,,,,,,,,,,,,,,,,,Not a Company URL,
"TRC Companies, Inc.",FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQEYGMIyZXNKGw/company-logo_400_400/0/1625151916756?e=1646265600&v=beta&t=YKO6aqCCT0pajdGM4hRBYlLSOxUCdekBO1Om_riob-o,https://media-exp1.licdn.com/dms/image/C4D1BAQGSt4TLQvt4_w/company-background_10000/0/1569945086582?e=1637996400&v=beta&t=imBaB0mcIJp2WO6q_XfbgG0TY5jfnQRHnHWuVkzPX3c,"Groundbreaker. Game changer. Innovator. TRC is a global firm providing environmentally focused and digitally powered solutions that address local needs. For more than 50 years, we have set the bar for clients who require consulting, construction, engineering and management services, combining science with the latest technology to devise solutions that stand the test of time. TRC’s nearly 6,000 professionals serve a broad range of public and private clients, steering complex projects from conception to completion to help solve the toughest challenges. We break through barriers for our clients and help them follow through for sustainable results. TRC is ranked #20 on ENR’s list of the Top 500 Design Firms in the United States. Learn more at TRCcompanies.com and follow us on Twitter, LinkedIn and Facebook. ","TRC is a global firm, environmentally focused and digitally powered, guiding projects from concept to completion.",140366,https://www.trccompanies.com/,https://trccompanies.com,Renewables & Environment,"5,001-10,000 employees",Privately Held,1969,,7886,144,https://www.linkedin.com/sales/company/7886/,4479,"TRC Companies, Inc.",https://www.linkedin.com/company/trc-companies-inc/,2021-11-26T06:17:00.109Z,https://www.linkedin.com/company/trc-companies-inc/,"Windsor, CT","Air Measurements, Air Quality, Building Sciences, Natural Resources Mgmt, Environmental Permitting & Licensing, Environmental, Health & Safety, Sustainability, Energy Services, Brownfields, Power Delivery Engineering, Civil Engineering, Construction Engineering & Inspection, Oil and Gas Engineering and Permitting, Pipeline Integrity, Land and Field Services, Environmental Remediation, and Digital Grid",https://www.linkedin.com/company/trc/,https://www.linkedin.com/company/aecom/,https://www.linkedin.com/company/trcstaffingservices/,https://www.linkedin.com/company/jacobs/,https://www.linkedin.com/company/erm/,https://www.linkedin.com/company/tetra-tech/,https://www.linkedin.com/company/woodplc/,https://www.linkedin.com/company/stantec/,https://www.linkedin.com/company/hdr/,https://www.linkedin.com/company/burns-&-mcdonnell/,,,,,,,,
Warner Bros. Entertainment,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQGI5qt2oG490A/company-logo_400_400/0/1573674520968?e=1646265600&v=beta&t=FvxVmKud6T-v_J-EHrJhK5Ggvbv7GqqfUztImg3NMvM,https://media-exp1.licdn.com/dms/image/C561BAQF5FhgfAF6uEw/company-background_10000/0/1605752863747?e=1637996400&v=beta&t=GBB817lziwzR9Z8p7-OTE30qXUB0TfZn6u2HdCO-Cb0,"WARNER BROS. is a global leader in all forms of entertainment and their related businesses across all current and emerging media and platforms. A WarnerMedia Company, the fully integrated, broad-based Studio is home to one of the most successful collections of brands in the world and stands at the forefront of every aspect of the entertainment industry from feature film, television and home entertainment production and worldwide distribution to DVD and Blu-ray, digital distribution, animation, comic books, video games, product and brand licensing, and broadcasting. The company’s vast library, one of the most prestigious and valuable in the world, consists of more than 61,000 hours of programming, including nearly 6,500 feature films and 3,000 television programs comprised of tens of thousands of individual episodes.

Warner Bros. has employees in over 30 countries. The company is headquartered at the Warner Bros. Studios lot, 142 acres in Burbank, California, which is considered one of the foremost motion picture and television production and post-production facilities in the world and is also home to 35 soundstages (including one of the world’s tallest stages, which has an in-ground tank capable of holding more than two million gallons of water). Warner Bros. Studio Facilities also manages the company’s studio in the U.K., Warner Bros. Studios Leavesden, which is a 160-acre production facility that has been the production site of many highly acclaimed Warner Bros. movies including the eight Harry Potter films.",,1474543,http://www.warnerbros.com/,warnerbros.com,Entertainment,"10,001+ employees",Public Company,,,2470,28,https://www.linkedin.com/sales/company/2470/,11396,Warner Bros. Entertainment,https://www.linkedin.com/company/warner-bros--entertainment/,2021-11-26T06:17:11.034Z,https://www.linkedin.com/company/warner-bros--entertainment/,"Burbank, CA","Digital Media, Television, Motion Pictures, Interactive Entertainment (Games), DC Comics, Studio Operations, Consumer Products, Technology, and Video Games",https://www.linkedin.com/company/netflix/,https://www.linkedin.com/company/the-walt-disney-company/,https://www.linkedin.com/company/hbo/,https://www.linkedin.com/company/warnermedia/,https://www.linkedin.com/company/sony-pictures-entertainment/,https://www.linkedin.com/company/paramount-pictures/,https://www.linkedin.com/company/spotify/,https://www.linkedin.com/company/nbcuniversal-inc-/,https://www.linkedin.com/company/google/,https://www.linkedin.com/company/amazon/,,,,,,,,
"McCarthy Building Companies, Inc.",FALSE,https://media-exp1.licdn.com/dms/image/C560BAQGrIXRNOKsHlg/company-logo_400_400/0/1519905112896?e=1646265600&v=beta&t=iWFQRs3b51BjYFCNy6P5KCTOb69eKk2wJaP474NujHw,https://media-exp1.licdn.com/dms/image/C4E1BAQHcdHwSPqwsNg/company-background_10000/0/1627051817535?e=1637996400&v=beta&t=RrDqr4m0oDjFcQ2Wwn2ikIgmyqXyK3BGrElRe0fy5wM,"For more than 150 years, McCarthy has been building America, both by constructing essential projects our communities rely on, as well as by helping those in our communities who need assistance. 

As one of the oldest American-owned construction companies with offices nationally, knowing how to build from early in the design phase through completion is a tradition that will continue as we endeavor to advance the value of our expertise and deliver the highest quality, job-site safety and ultimately, the best final project costs. We strive to challenge and positively impact our industry. Unlike many firms of our size, we are true builders, surpassing client expectations on the most complex building challenges. McCarthy has built in nearly every state, with projects ranging in size from $1 million to well over $500 million in a wide variety of markets including healthcare, university, laboratory & science, K-12 education, commercial, government, renewable energy and heavy/civil. 

McCarthy is proud to be an equal opportunity and affirmative action employer regardless of race, color, gender, age, sexual orientation, gender identity, religious beliefs, marital status, genetic information, national origin, disability or protected veteran status.  

At McCarthy, our equal pay commitment is simple: fair and equitable pay for all employees. We work diligently to ensure there are no disparities in salary based on gender, race or sexual orientation. We review individual compensation adjustments using a bi-annual compensation analysis to ensure no disparities occur. We do the right thing, which means ensuring equitable pay for work done in comparable roles

McCarthy Building Companies, Inc. is a McCarthy Holdings, Inc. company.",,130167,http://www.mccarthy.com,mccarthy.com,Construction,"1,001-5,000 employees",Privately Held,1864,,119184,48,https://www.linkedin.com/sales/company/119184/,3217,"McCarthy Building Companies, Inc.",https://www.linkedin.com/company/mccarthy-building-companies-inc/,2021-11-26T06:17:22.239Z,https://www.linkedin.com/company/mccarthy-building-companies-inc/,"St. Louis, Missouri","Construction, General Contractor, Design-Build, Sustainable Construction, and Construction Management",https://www.linkedin.com/company/turner-construction-company/,https://www.linkedin.com/company/clarkconstructiongroup/,https://www.linkedin.com/company/dpr-construction-inc/,https://www.linkedin.com/company/pcl-construction/,https://www.linkedin.com/company/je-dunn-construction/,https://www.linkedin.com/company/swinerton/,https://www.linkedin.com/company/hensel-phelps-construction-co-/,https://www.linkedin.com/company/kiewit/,https://www.linkedin.com/company/skanska/,https://www.linkedin.com/company/gilbane-building-company/,,,,,,,,
Keeley Companies,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQEK_qSOGZ7kCQ/company-logo_400_400/0/1634510180872?e=1646265600&v=beta&t=kFjecb3v3deAVmAOJXR7XINXnLDFCVlLOwXAybDs_jc,https://media-exp1.licdn.com/dms/image/C561BAQE2hzBcT6gVhw/company-background_10000/0/1616383839661?e=1637996400&v=beta&t=wNeIAK0f4a_Tjx-Z2ifkfUKx3YJYNjWTh3300DTtoKA,"Keeley Companies provides dynamic, creative services, and solutions nationwide in the construction, infrastructure, technology, development, logistics, and wireless sectors.

THE POWER OF ONE

Keeley Companies consists of L. Keeley Construction, ADB Companies, ZeroDay Technology Solutions, KDG, Mercury Communications, and is a proud partner of Inspired Solutions. Together, Keeley Companies is comprised of over 1,800 dedicated, diversified experts nationwide.

","We are a family of Keeley'ns dedicated to the safety, well-being, and career growth of our team members. ",20620,http://www.keeleycompanies.com,keeleycompanies.com,Construction,"1,001-5,000 employees",Privately Held,1976,"500 S Ewing Suite G, St. Louis, MO 63103, US",9440897,118,https://www.linkedin.com/sales/company/9440897/,54,Keeley Companies,https://www.linkedin.com/company/keeley-companies/,2021-11-26T06:17:33.747Z,https://www.linkedin.com/company/keeley-companies/,"St. Louis, MO","Construction, Infrastructure, Technology, Culture, Community Service, and Education",https://www.linkedin.com/company/zeroday-technology-solutions/,https://www.linkedin.com/company/adb-utility-contractors/,https://www.linkedin.com/company/keeley-properties/,https://www.linkedin.com/company/keeley-construction-group/,,,,,,,,,,,,,,
